,Length_Title,Length_Concultatory
445,115,505
446,155,346
447,72,583
448,188,636
449,145,293
450,177,506
451,52,686
452,118,1286
453,175,558
454,164,171
455,115,342
456,172,491
457,113,509
458,111,265
459,55,1658
460,123,1123
461,88,365
462,64,125
463,181,848
464,81,960
465,180,441
466,126,361
467,137,158
468,132,621
469,136,307
470,120,429
471,298,1031
472,114,561
473,89,444
474,78,704
475,44,1072
476,110,1778
477,79,456
478,174,1688
479,117,189
480,264,713
481,270,495
482,134,229
483,48,1222
484,176,380
485,419,948
486,209,520
487,68,261
488,81,724
489,78,1926
490,125,386
491,134,1779
492,69,428
493,92,220
494,239,712
495,89,1259
496,77,1411
497,32,120
498,93,873
499,212,358
500,45,1967
501,146,402
502,278,565
503,145,1685
504,189,406
505,91,962
506,160,1231
507,34,963
508,40,905
509,46,233
510,80,810
511,122,543
512,24,376
513,52,946
514,69,418
515,61,345
516,157,728
517,67,417
518,38,589
519,71,445
520,77,173
521,32,385
522,87,802
523,43,393
524,76,432
525,102,184
526,116,407
527,83,233
528,67,548
529,93,224
530,43,310
531,65,317
532,29,690
533,187,304
534,159,341
535,30,312
536,65,305
537,73,147
538,100,339
539,110,567
540,82,212
541,83,143
542,80,394
543,177,219
544,156,241
545,51,312
546,282,551
547,98,219
548,216,349
549,95,119
550,239,717
551,126,198
552,111,561
553,65,267
554,166,247
555,114,251
556,76,181
557,39,537
558,170,428
559,207,362
560,65,516
561,115,367
562,184,693
563,70,76
564,44,358
565,105,373
566,77,639
567,37,223
568,75,359
569,98,524
570,47,262
571,61,347
572,71,604
573,100,477
574,133,522
575,72,477
576,102,286
577,69,492
578,169,363
579,131,278
580,78,308
581,139,799
582,184,125
583,220,382
584,131,255
585,93,184
586,75,529
587,100,679
588,39,592
589,128,408
590,221,1456
591,116,959
592,213,652
593,93,447
594,50,602
595,114,1091
596,62,141
597,46,273
598,72,677
599,64,221
600,59,728
601,89,745
602,146,349
603,137,207
604,55,570
605,55,477
606,42,263
607,64,188
608,39,325
609,70,570
610,103,285
611,246,1251
612,53,769
613,225,430
614,75,411
615,96,604
616,76,492
617,94,719
618,37,432
619,107,250
620,95,427
621,141,317
622,64,564
623,80,1072
624,132,839
625,66,714
626,128,795
627,73,120
628,71,259
629,155,402
630,129,470
631,105,386
632,78,530
633,46,922
634,73,526
635,47,526
636,231,447
637,81,391
638,187,589
639,129,1007
640,124,460
641,93,338
642,91,466
643,91,508
644,69,146
645,33,503
646,28,399
647,92,570
648,98,442
649,70,980
650,65,441
651,45,1037
652,82,486
653,96,217
654,212,892
655,137,273
656,41,438
657,216,538
658,52,588
659,45,201
660,54,316
661,70,657
662,83,306
663,122,477
664,52,365
665,54,520
666,80,286
667,56,636
668,45,1289
669,52,975
670,83,433
671,89,411
672,134,483
673,66,745
674,110,284
675,109,604
676,106,297
677,71,131
678,230,651
679,26,621
680,169,930
681,129,316
682,118,408
683,104,596
684,85,452
685,95,291
686,136,397
687,116,422
688,112,567
689,138,461
690,102,627
691,95,288
692,51,131
693,117,459
694,107,512
695,76,508
696,55,1476
697,229,358
698,107,189
699,163,990
700,308,255
701,109,198
702,74,199
703,35,286
704,68,472
705,89,1018
706,50,254
707,77,250
708,95,269
709,219,607
710,318,667
711,94,224
712,79,355
713,86,254
714,48,330
715,55,218
716,86,320
717,165,422
718,24,640
719,122,522
720,247,1240
721,178,373
722,119,1008
723,125,232
724,61,202
725,97,269
726,67,1365
727,61,255
728,103,1037
729,118,344
730,69,214
731,75,327
732,144,1070
733,85,410
734,158,474
735,160,680
736,155,379
737,118,568
738,116,268
739,46,467
740,104,592
741,74,210
742,68,551
743,67,395
744,72,500
745,209,566
746,156,697
747,100,411
748,110,189
749,71,379
750,120,222
751,112,715
752,112,640
753,113,860
754,48,214
755,245,124
756,63,275
757,50,50
758,70,144
759,72,571
760,53,389
761,241,1176
762,75,256
763,85,298
764,70,348
765,183,1106
766,79,538
767,87,560
768,169,299
769,40,102
770,125,722
771,71,324
772,147,528
773,143,426
774,47,92
775,68,190
776,243,1170
777,59,1043
778,96,496
779,71,465
780,151,526
781,356,489
782,113,788
783,95,617
784,86,416
785,89,416
786,122,249
787,153,830
788,210,552
789,227,480
790,121,1348
791,72,215
792,270,1247
793,301,1102
794,110,943
795,177,528
796,166,316
797,170,590
798,96,1944
799,227,210
800,181,416
801,68,342
802,113,172
803,177,554
804,135,518
805,80,327
806,79,644
807,46,995
808,100,599
809,64,534
810,53,191
811,87,417
812,52,206
813,62,247
814,61,284
815,82,404
816,62,249
817,62,220
818,83,890
819,39,418
820,145,277
821,169,373
822,55,305
823,106,351
824,163,435
825,295,777
826,40,996
827,195,247
828,31,241
829,152,339
830,114,250
831,65,788
832,67,260
833,117,547
834,124,329
835,196,685
836,189,253
837,135,765
838,71,331
839,131,879
840,66,507
841,133,453
842,207,556
843,265,798
844,170,554
845,76,192
846,203,389
847,153,524
848,75,927
849,57,464
850,62,241
851,560,1330
852,227,426
853,49,648
854,107,434
855,102,457
856,139,737
857,58,539
858,128,1161
859,90,774
860,103,389
861,154,535
862,59,573
863,139,417
864,99,322
865,184,487
866,69,169
867,29,1099
868,59,141
869,57,181
870,57,426
871,130,311
872,96,974
873,315,709
874,80,314
875,47,270
876,152,257
877,186,366
878,57,287
879,95,270
880,106,227
881,227,519
882,46,469
883,187,1155
884,66,176
885,154,1420
886,112,381
887,106,408
888,181,380
889,98,434
890,79,293
891,102,389
892,109,427
893,96,429
894,78,218
895,234,515
896,118,118
897,162,497
898,98,98
899,116,215
900,98,98
901,425,1457
902,119,303
903,83,83
904,152,661
905,219,922
906,82,418
907,224,484
908,73,463
909,94,685
910,117,145
911,51,347
912,81,704
913,83,564
914,44,212
915,52,52
916,84,357
917,249,1124
918,64,811
919,68,227
920,58,86
921,49,346
922,131,297
923,31,112
924,72,218
925,37,346
926,114,332
927,119,337
928,207,828
929,53,164
930,30,30
931,64,514
932,89,300
933,120,276
934,83,524
935,64,150
936,56,179
937,55,736
938,167,1168
939,104,946
940,78,278
941,64,993
942,75,487
943,103,469
944,144,394
945,43,486
946,91,826
947,76,876
948,109,370
949,72,310
950,153,275
951,128,561
952,100,761
953,39,318
954,223,429
955,58,404
956,46,309
957,128,351
958,31,193
959,27,291
960,91,460
961,62,431
962,108,179
963,229,734
964,57,590
965,76,238
966,207,274
967,26,371
968,119,1229
969,73,189
970,63,234
971,53,261
972,120,300
973,81,247
974,89,197
975,115,484
976,72,383
977,89,255
978,126,550
979,58,575
980,101,178
981,39,255
982,72,452
983,182,407
984,98,832
985,145,257
986,175,409
987,120,120
988,103,1087
989,200,587
990,112,162
991,112,254
992,112,220
993,113,356
994,33,423
995,113,241
996,81,416
997,84,305
998,76,347
999,203,434
1000,142,439
1001,217,517
1002,244,712
1003,126,614
1004,95,329
1005,86,199
1006,152,669
1007,156,315
1008,58,260
1009,164,260
1010,36,222
1011,48,433
1012,28,271
1013,24,285
1014,37,260
1015,150,337
1016,104,163
1017,63,63
1018,44,952
1019,76,511
1020,92,386
1021,79,201
1022,211,444
1023,145,268
1024,110,493
1025,62,404
1026,75,115
1027,88,663
1028,53,419
1029,89,837
1030,101,254
1031,76,545
1032,96,555
1033,39,266
1034,93,417
1035,223,652
1036,93,334
1037,195,301
1038,96,1044
1039,124,512
1040,180,665
1041,115,216
1042,108,593
1043,107,968
1044,98,356
1045,169,539
1046,91,388
1047,160,624
1048,365,365
1049,66,1196
1050,170,399
1051,52,433
1052,199,516
1053,53,634
1054,39,774
1055,48,303
1056,155,424
1057,148,517
1058,200,1258
1059,76,543
1060,90,1352
1061,43,652
1062,91,278
1063,114,218
1064,46,564
1065,57,461
1066,42,97
1067,30,177
1068,135,570
1069,183,844
1070,82,82
1071,190,905
1072,77,364
1073,112,459
1074,94,800
1075,152,971
1076,140,1186
1077,64,246
1078,212,549
1079,228,478
1080,61,775
1081,114,594
1082,105,2344
1083,203,1201
1084,59,1021
1085,170,478
1086,173,618
1087,57,141
1088,104,210
1089,156,471
1090,45,464
1091,103,192
1092,113,176
1093,59,59
1094,85,501
1095,71,205
1096,98,211
1097,154,180
1098,109,545
1099,76,692
1100,79,425
1101,159,580
1102,37,151
1103,43,234
1104,75,389
1105,112,332
1106,108,218
1107,80,351
1108,45,276
1109,134,187
1110,34,625
1111,74,452
1112,85,396
1113,57,153
1114,47,527
1115,73,592
1116,160,1418
1117,49,439
1118,50,50
1119,171,338
1120,138,281
1121,72,202
1122,92,482
1123,189,332
1124,82,276
1125,92,210
1126,99,353
1127,154,877
1128,67,468
1129,83,258
1130,82,449
1131,225,771
1132,157,342
1133,262,398
1134,233,293
1135,59,408
1136,110,110
1137,53,218
1138,107,445
1139,124,124
1140,90,286
1141,95,310
1142,210,485
1143,104,336
1144,81,436
1145,66,243
1146,82,258
1147,116,406
1148,265,633
1149,103,625
1150,81,1523
1151,426,979
1152,114,457
1153,101,399
1154,75,460
1155,186,738
1156,161,336
1157,83,944
1158,171,644
1159,182,341
1160,214,686
1161,149,207
1162,149,847
1163,72,258
1164,215,492
1165,69,260
1166,38,273
1167,87,482
1168,89,257
1169,93,458
1170,72,491
1171,97,796
1172,43,486
1173,39,248
1174,74,503
1175,104,326
1176,136,514
1177,56,831
1178,234,539
1179,101,355
1180,123,958
1181,55,485
1182,45,45
1183,98,350
1184,140,386
1185,167,447
1186,60,522
1187,50,731
1188,60,364
1189,53,123
1190,182,378
1191,66,365
1192,91,261
1193,252,447
1194,187,414
1195,75,962
1196,249,491
1197,220,360
1198,139,269
1199,198,361
1200,167,323
1201,133,257
1202,156,406
1203,41,457
1204,67,146
1205,121,503
1206,228,447
1207,267,860
1208,126,493
1209,119,1715
1210,186,1020
1211,203,550
1212,236,323
1213,181,571
1214,117,1079
1215,187,758
1216,208,220
1217,153,462
1218,81,373
1219,81,451
1220,253,646
1221,116,569
1222,74,696
1223,81,230
1224,63,958
1225,132,267
1226,45,207
1227,73,293
1228,54,368
1229,87,424
1230,80,168
1231,108,383
1232,84,331
1233,72,1066
1234,124,275
1235,61,294
1236,78,474
1237,64,410
1238,87,195
1239,47,252
1240,159,773
1241,170,773
1242,30,506
1243,62,271
1244,44,563
1245,113,198
1246,141,352
1247,155,483
1248,206,756
1249,127,232
1250,161,268
1251,103,1170
1252,36,355
1253,94,94
1254,61,129
1255,65,290
1256,91,337
1257,30,166
1258,50,165
1259,135,342
1260,40,162
1261,31,211
1262,143,804
1263,76,359
1264,268,720
1265,44,800
1266,221,528
1267,107,216
1268,177,559
1269,240,622
1270,74,186
1271,204,548
1272,206,1572
1273,107,107
1274,70,203
1275,72,370
1276,57,394
1277,103,469
1278,175,975
1279,57,401
1280,85,698
1281,84,852
1282,231,1052
1283,120,456
1284,71,166
1285,39,217
1286,144,645
1287,193,358
1288,52,120
1289,190,782
1290,52,399
1291,56,858
1292,54,299
1293,113,742
1294,340,934
1295,116,584
1296,97,418
1297,141,465
1298,128,654
1299,273,434
1300,92,227
1301,39,312
1302,179,266
1303,104,368
1304,118,147
1305,183,201
1306,67,624
1307,34,373
1308,81,198
1309,189,580
1310,94,373
1311,92,237
1312,144,366
1313,94,1452
1314,79,961
1315,61,435
1316,53,245
1317,57,204
1318,43,557
1319,90,527
1320,130,164
1321,88,281
1322,93,353
1323,85,1594
1324,132,914
1325,113,1347
1326,197,551
1327,86,1335
1328,57,684
1329,88,253
1330,93,385
1331,64,143
1332,149,458
1333,168,282
1334,55,326
1335,216,226
1336,86,531
1337,54,589
1338,72,341
1339,68,1102
1340,220,156
1341,65,452
1342,122,292
1343,104,289
1344,129,286
1345,105,305
1346,87,236
1347,56,106
1348,115,985
1349,23,136
1350,71,1025
1351,97,395
1352,250,389
1353,136,648
1354,144,413
1355,142,238
1356,74,840
1357,148,1380
1358,41,564
1359,114,1186
1360,81,307
1361,80,226
1362,117,358
1363,171,1571
1364,38,620
1365,74,74
1366,163,630
1367,211,977
1368,84,842
1369,85,285
1370,73,431
1371,96,509
1372,81,384
1373,143,1495
1374,82,82
1375,154,1473
1376,112,280
1377,199,290
1378,197,946
1379,258,1279
1380,87,427
1381,38,98
1382,52,416
1383,88,646
1384,125,224
1385,92,141
1386,136,702
1387,203,410
1388,62,600
1389,125,1242
1390,188,1400
1391,310,518
1392,170,565
1393,204,534
1394,277,400
1395,189,502
1396,237,481
1397,58,593
1398,94,427
1399,73,390
1400,93,199
1401,90,695
1402,131,531
1403,101,858
1404,50,416
1405,65,755
1406,75,292
1407,59,629
1408,88,420
1409,73,246
1410,96,731
1411,104,664
1412,101,238
1413,65,1674
1414,229,952
1415,66,587
1416,67,413
1417,75,594
1418,125,294
1419,73,1010
1420,221,392
1421,77,345
1422,174,1165
1423,28,391
1424,134,236
1425,109,454
1426,86,313
1427,129,568
1428,158,897
1429,80,163
1430,110,1129
1431,225,2560
1432,174,819
1433,147,624
1434,210,743
1435,118,1366
1436,134,438
1437,49,558
1438,234,765
1439,209,2208
1440,157,280
1441,151,324
1442,143,380
1443,223,173
1444,172,707
1445,157,1865
1446,285,464
1447,130,121
1448,121,847
1449,180,857
1450,65,790
1451,93,291
1452,49,334
1453,66,279
1454,63,2128
1455,210,207
1456,51,787
1457,60,587
1458,179,702
1459,100,468
1460,132,750
1461,77,706
1462,77,428
1463,171,133
1464,50,295
1465,47,283
1466,94,829
1467,85,264
1468,125,169
1469,61,255
1470,72,606
1471,58,305
1472,190,2929
1473,61,163
1474,95,332
1475,69,122
1476,86,697
1477,61,161
1478,62,313
1479,71,317
1480,66,175
1481,127,207
1482,250,437
1483,78,1129
1484,125,695
1485,84,564
1486,176,440
1487,157,401
1488,112,1408
1489,68,710
1490,71,526
1491,114,518
1492,60,538
1493,157,233
1494,141,614
1495,152,662
1496,110,320
1497,51,690
1498,75,228
1499,132,459
1500,269,497
1501,91,392
1502,173,536
1503,169,820
1504,254,706
1505,119,522
1506,183,316
1507,101,125
1508,142,1015
1509,84,350
1510,158,685
1511,104,413
1512,55,206
1513,88,464
1514,175,611
1515,52,331
1516,82,525
1517,196,333
1518,300,343
1519,49,476
1520,54,349
1521,139,1298
1522,57,352
1523,144,373
1524,194,687
1525,60,1018
1526,86,270
1527,73,333
1528,46,121
1529,77,188
1530,213,365
1531,184,646
1532,167,333
1533,78,298
1534,175,448
1535,108,241
1536,92,191
1537,231,316
1538,50,372
1539,131,254
1540,189,361
1541,65,532
1542,215,839
1543,87,514
1544,263,1190
1545,156,285
1546,87,1036
1547,69,430
1548,54,254
1549,51,173
1550,38,396
1551,71,202
1552,86,390
1553,113,356
1554,153,488
1555,152,152
1556,77,561
1557,75,277
1558,254,142
1559,88,484
1560,79,404
1561,64,695
1562,184,522
1563,84,589
1564,273,422
1565,73,371
1566,94,245
1567,54,356
1568,122,385
1569,71,307
1570,88,345
1571,102,452
1572,78,298
1573,137,368
1574,103,563
1575,83,159
1576,138,480
1577,63,219
1578,67,668
1579,114,1970
1580,46,948
1581,99,240
1582,68,285
1583,74,334
1584,81,329
1585,186,726
1586,50,158
1587,59,338
1588,79,388
1589,80,576
1590,65,396
1591,127,339
1592,254,502
1593,92,424
1594,89,427
1595,187,546
1596,79,254
1597,195,405
1598,104,1107
1599,74,271
1600,107,228
1601,76,524
1602,93,753
1603,66,414
1604,35,662
1605,135,1075
1606,90,268
1607,90,268
1608,136,1056
1609,129,1044
1610,79,282
1611,120,582
1612,121,363
1613,64,370
1614,60,552
1615,263,340
1616,148,488
1617,45,772
1618,71,139
1619,86,226
1620,116,264
1621,58,214
1622,119,128
1623,99,306
1624,140,220
1625,160,668
1626,176,598
1627,82,82
1628,151,316
1629,64,382
1630,91,221
1631,103,200
1632,57,405
1633,115,572
1634,161,423
1635,48,346
1636,35,331
1637,104,447
1638,97,269
1639,82,326
1640,137,299
1641,90,308
1642,131,389
1643,193,445
1644,61,200
1645,65,399
1646,182,770
1647,68,68
1648,148,437
1649,70,308
1650,32,196
1651,32,197
1652,51,145
1653,148,199
1654,91,180
1655,82,82
1656,66,295
1657,65,219
1658,58,221
1659,170,678
1660,105,341
1661,227,971
1662,38,437
1663,92,544
1664,154,1826
1665,143,232
1666,79,286
1667,69,164
1668,109,336
1669,59,214
1670,191,441
1671,80,402
1672,65,349
1673,92,621
1674,84,370
1675,89,114
1676,148,705
1677,63,493
1678,62,254
1679,129,674
1680,119,398
1681,99,299
1682,95,215
1683,102,410
1684,80,331
1685,50,543
1686,76,509
1687,139,139
1688,49,250
1689,81,438
1690,37,301
1691,102,102
1692,63,125
1693,81,101
1694,46,177
1695,163,598
1696,100,515
1697,135,349
1698,112,145
1699,66,264
1700,218,675
1701,115,705
1702,153,346
1703,160,160
1704,98,220
1705,88,88
1706,180,783
1707,85,200
1708,108,210
1709,52,627
1710,59,193
1711,114,1245
1712,44,63
1713,104,104
1714,95,196
1715,159,858
1716,109,215
1717,75,510
1718,108,260
1719,117,258
1720,104,1151
1721,120,302
1722,56,56
1723,108,322
1724,49,855
1725,322,507
1726,183,1104
1727,102,929
1728,266,766
1729,322,717
1730,73,357
1731,284,1074
1732,93,156
1733,96,424
1734,61,463
1735,107,160
1736,128,435
1737,244,302
1738,93,364
1739,130,130
1740,53,395
1741,56,56
1742,53,533
1743,75,236
1744,112,361
1745,94,363
1746,116,813
1747,138,382
1748,93,300
1749,33,33
1750,59,370
1751,76,262
1752,74,282
1753,68,343
1754,107,232
1755,20,359
1756,118,245
1757,206,490
1758,20,426
1759,126,333
1760,65,287
1761,106,248
1762,58,370
1763,39,1117
1764,202,382
1765,57,701
1766,123,439
1767,88,279
1768,224,322
1769,56,264
1770,57,452
1771,66,186
1772,237,381
1773,65,649
1774,232,682
1775,89,406
1776,85,85
1777,105,311
1778,64,469
1779,254,797
1780,132,548
1781,119,271
1782,75,160
1783,87,393
1784,101,81
1785,93,521
1786,45,452
1787,83,249
1788,60,60
1789,92,92
1790,51,380
1791,43,357
1792,144,845
1793,24,134
1794,131,665
1795,51,270
1796,228,499
1797,75,252
1798,139,426
1799,90,301
1800,49,199
1801,226,897
1802,235,414
1803,153,419
1804,186,564
1805,156,446
1806,96,441
1807,129,279
1808,166,885
1809,47,392
1810,41,264
1811,154,428
1812,83,241
1813,122,905
1814,52,785
1815,47,227
1816,74,259
1817,99,373
1818,75,424
1819,104,375
1820,102,126
1821,69,680
1822,155,342
1823,201,724
1824,84,489
1825,108,543
1826,95,611
1827,80,429
1828,134,484
1829,64,937
1830,69,215
1831,78,458
1832,45,262
1833,49,541
1834,45,226
1835,75,235
1836,94,259
1837,313,681
1838,117,411
1839,143,620
1840,89,647
1841,304,416
1842,180,694
1843,59,456
1844,59,490
1845,43,386
1846,59,507
1847,108,205
1848,117,1021
1849,38,38
1850,72,394
1851,28,325
1852,83,175
1853,58,371
1854,98,392
1855,93,695
1856,237,530
1857,86,232
1858,61,285
1859,125,2031
1860,53,351
1861,100,223
1862,47,376
1863,118,314
1864,98,1524
1865,155,300
1866,61,816
1867,89,653
1868,45,567
1869,91,780
1870,42,350
1871,109,536
1872,63,504
1873,121,658
1874,77,266
1875,90,297
1876,158,300
1877,213,895
1878,141,176
1879,79,624
1880,46,428
1881,49,709
1882,109,442
1883,123,446
1884,125,559
1885,149,547
1886,78,436
1887,26,510
1888,161,469
1889,149,446
1890,90,447
1891,83,682
1892,69,295
1893,65,647
1894,102,177
1895,179,401
1896,101,732
1897,79,1314
1898,107,529
1899,121,383
1900,88,816
1901,92,465
1902,226,1319
1903,160,928
1904,57,237
1905,66,341
1906,59,59
1907,86,245
1908,69,219
1909,98,98
1910,70,64
1911,35,307
1912,53,616
1913,53,740
1914,75,380
1915,61,251
1916,343,620
1917,49,288
1918,96,258
1919,172,706
1920,30,815
1921,124,513
1922,71,275
1923,57,393
1924,61,614
1925,61,146
1926,49,50
1927,23,304
1928,67,315
1929,277,1112
1930,84,198
1931,51,306
1932,63,353
1933,63,229
1934,76,187
1935,137,350
1936,54,237
1937,226,466
1938,107,498
1939,53,387
1940,83,305
1941,53,889
1942,86,287
1943,220,232
1944,91,527
1945,83,529
1946,70,301
1947,57,290
1948,66,334
1949,199,514
1950,112,317
1951,189,627
1952,78,328
1953,28,154
1954,72,253
1955,106,436
1956,164,1062
1957,75,126
1958,62,225
1959,71,103
1960,120,477
1961,55,330
1962,105,255
1963,185,477
1964,71,173
1965,102,679
1966,30,319
1967,59,513
1968,74,561
1969,117,560
1970,33,357
1971,80,196
1972,80,509
1973,90,342
1974,27,1390
1975,113,572
1976,43,445
1977,70,323
1978,61,526
1979,230,747
1980,88,355
1981,215,1309
1982,123,272
1983,74,429
1984,48,272
1985,244,615
1986,56,543
1987,57,176
1988,118,465
1989,100,950
1990,42,150
1991,105,203
1992,59,150
1993,190,811
1994,45,238
1995,57,304
1996,69,591
1997,70,354
1998,76,405
1999,62,443
2000,88,449
2001,48,248
2002,63,130
2003,56,633
2004,44,645
2005,84,227
2006,66,93
2007,28,121
2008,59,361
2009,60,228
2010,45,466
2011,53,187
2012,90,838
2013,58,58
2014,155,225
2015,168,262
2016,36,285
2017,58,640
2018,46,217
2019,28,164
2020,194,1018
2021,62,164
2022,99,725
2023,153,292
2024,85,380
2025,35,715
2026,75,250
2027,224,576
2028,61,617
2029,182,728
2030,65,245
2031,96,949
2032,55,247
2033,185,294
2034,22,125
2035,232,459
2036,288,400
2037,19,405
2038,78,246
2039,193,332
2040,72,557
2041,63,629
2042,61,588
2043,72,829
2044,252,1425
2045,214,250
2046,111,685
2047,206,461
2048,83,284
2049,134,435
2050,147,3331
2051,36,36
2052,95,362
2053,80,761
2054,205,356
2055,145,384
2056,194,1085
2057,136,208
2058,77,570
2059,95,283
2060,109,1037
2061,183,1185
2062,130,615
2063,214,606
2064,174,977
2065,244,803
2066,88,556
2067,135,323
2068,251,1012
2069,97,559
2070,277,642
2071,241,436
2072,129,635
2073,34,258
2074,140,802
2075,140,283
2076,29,217
2077,58,102
2078,103,377
2079,37,350
2080,215,725
2081,72,384
2082,57,543
2083,78,672
2084,143,1877
2085,106,1409
2086,147,1145
2087,102,2228
2088,148,1251
2089,94,927
2090,26,185
2091,58,200
2092,57,310
2093,198,410
2094,172,353
2095,158,489
2096,103,542
2097,47,284
2098,330,1058
2099,74,199
2100,83,292
2101,199,994
2102,158,357
2103,172,592
2104,90,392
2105,58,587
2106,149,384
2107,241,894
2108,330,738
2109,251,782
2110,56,219
2111,51,51
2112,55,726
