Concultatory,Title,ΔΗΜΟΣΙΟ,ΔΙΟΡΙΣΜΟΣ ΠΡΟΣΛΗΨΗ,ΕΤΑΙΡΕΙΕΣ ΑΝΩΝΥΜΕΣ,ΠΡΟΣΩΠΙΚΟ ΥΠΑΛΛΗΛΟΙ,ΥΠΑΛΛΗΛΟΙ ΔΗΜΟΣΙΟΙ
θεση αναπληρωτη διοικητη πανεπιστημιακου νοσοκομειου «αττικον» οριζεται μελος δεπ βαθμιδας καθηγητη αναπληρωτη καθηγητη αμειβομενη καθοριζομενη κυα περιορισμο προς υψος πασης φυσεως αποδοχων μελος δεπ αποδεχθει διορισμο θεση υποχρεωτικα τιθεται αναστολη καθηκοντων μελους δεπ ομοτιμοι καθηγητες επιτρεπεται προταθουν διοριστουν θεση αναπληρωτη διοικητη πανεπιστημιακου νοσοκομειου,Ορισμός μέλους ΔΕΠ στη θέση Αναπληρωτή Διοικητή Νοσοκομείου – Δυνατότητα ή μη διατήρησης του καθεστώτος πλήρους απασχόλησης – Δυνατότητα ή μη ορισμού στη θέση Ομότιμου Καθηγητή.,0,1,0,0,0
υποχρεωση απογραφης μητρωο ανθρωπινου δυναμικου ελληνικου δημοσιου οσοι παρεχουν υπηρεσιες προιοντστο δημοσιο απασχολουμενοι αμειβονται αποδειξη επαγγελματικων δαπανων εκδιδεται φορεα απασχολησης απασχολουμενοι συμβαση ανεξαρτητων υπηρεσιων σχεση εμμισθης εντολης παρεχοντες υπηρεσιες επαχθη αιτια εκπονουν μελετες παρεχουν σχετικες υπηρεσιες ανεξαρτητα υποχρεωση αναληφθηκε κατοπιν διαγωνιστικης διαδικασιας ομοφωνα,Υποχρέωση απογραφής στο Μητρώο Ανθρώπινου Δυναμικού του Ελληνικού Δημοσίου. Περιπτωσιολογία.,0,0,0,1,0
υπαγωγη επιχειρησης απαλλασσει εισφορα ισχυει,Απαλλαγές από την εισφορά του Ν 128/1975.,0,0,1,0,0
δημοσιοι υπαλληλοι υπαλληλοι αλλων φορεων δημοσιου τομεα προσλαμβανονται ιδιωτες μεταφραστες υπουργειο εξωτερικων συνδεονται δημοσιο προς απασχολησή συμβαση μισθωσεως εργου υπαγονται διαταξεις απαγορευεται καταρχην λειτουργους υπαλληλους εμμισθους αμισθους πολιτικους στρατιωτικους μισθωτους δημοσιου αλλων φορεων δημοσιου τομεα διοριστουν προσληφθουν δευτερη θεση απασχοληση δημοσιου τομεα,ΝΠΙΔ. Υπάλληλοι. Επαναπρόσληψη λόγω απολύσεως.,0,1,0,1,0
προσθηκη λεξης skoda επωνυμια ποδοσφαιρικης ανων εταιρειας ξανθηπαε νομιμη διαταξεις αρθρων,Ποδοσφαιρικές Ανώνυμες Εταιρείες (ΠΑΕ Προσθήκη επωνυμίας άλλης εταιρείας.,0,0,1,0,0
αποφαση υπουργου γεωργιας προσφυγης ανωνυμου εταιρειας επωνυμια πιερικη χοιρειου κρεατος ασκηθεισης ενωπιόν αρθρα εκδιδεται νομιμως προηγουμενη γνωμοδοτηση επιτροπης αλλου διοικητικου οργανου,Δάση. Καταγραφή. Σύμβαση μεταξύ Εκκλησίας της Ελλάδος και Ελ.Δημοσίου. Κυριότητα - διαχείριση.,1,0,0,0,0
περιπτωση παραλειφθει προαγωγες υπαλληλος παρανομιας πλανης διοικησεως αποκατασταθει αναδρομικως βαθμο ωφειλε προαχθει αποκατασταση πληρης περιλαμβανει αποδοχων αναδρομικης προαγωγης προβλεπομενη διετης παραγραφη αξιωσεως υπαλληλου ληψη αναδρομικων αποδοχων αρχεται εκδοση διοικητικης πραξεως περι αναδρομικης προαγωγης εκδοσεως πραξεως γενναται συναφες δικαιωμα ληψεως ηυξημενων αποδοχων νεου βαθμου,Υπάλληλοι Δημόσιοι. Αναδρομική προαγωγή. Αναδρομικές αποδοχές. Παραγραφή.,1,0,0,0,1
εξεταζομενη περιπτωση υφισταται δυνατοτητα περαιτερω υποχρεωση ταχδικ διαταξεις γενικου κανονα δικαιου περι αδικαιολογητου πλουτισμου επιστρεψει δικαιουχους υπεβαλαν αιτηση ποσα εισπραχθηκαν εκδοση τοσο ειδικων εντυπων παραβολων ταχδικ κυα διπλοτυπων εισπραξης δημοσιου εκδοθηκαν καταθεση αιτησεων ασφαλιστικων μετρων προς ποσο ταχδικ υπο προυποθεσεις αφενος χρησιμοποιησης ειδικων εντυπων παραβολων σκοπο εκδοθηκαν καταθεσης αιτησεων ασφαλιστικων μετρων εκδοθηκαν σχετικα διπλοτυπα εισπραξης δημοσιου αφετερου παραγραφης σχετικων απαιτησεων ελεγχθουν αρμοδια υπηρεσια ταχδικ αποδεκτη,"Δυνατότητα ή μη επιστροφής του ποσού που καταβλήθηκε για αγορά παραβόλων ΤΑ.Χ.ΔΙ.Κ., τα οποία δεν χρησιμοποιήθηκαν.",0,0,1,0,0
υστερων διαγραφη βεβαιωμενου ληξιπροθεσμου χρεους εταιρειας προερχεται επιβολη προστιμου εισφορας ποινης αιτιας εκπροθεσμου διακανονισμου συναλλαγματικης τακτοποιησης εισαγωγης ζωντων ζωων πρωην γιουγκοσλαβια βεβαιωσεως εκκρεμει προσφυγη ενδιαφερομενης εταιρειας αρμοδια διοικητικα δικαστηρια δεδομενου εξελιπε νομιμος λογος επιβολης προστιμου κατοπιν εγκρισεως υπεθο εκπροθεσμου συναλλαγματικης τακτοποιησεως επιβολη προστιμου,Εθνικό Κέντρο Θαλασσίων Ερευνών (Ε.Κ.Θ.Ε. Συλλογική Σύμβαση Εργασίας. Υπογραφή. Νομοθετική εξουσιοδότηση.,0,0,0,1,0
διαταξη εξαντληση πινακα διοριστεων ασεπ πληρωθει αριθμος προκηρυχθεισων θεσεων καλυφθεισες θεσεις διορισθουν υποψηφιοι επιτυχοντες πινακα διαγωνισμου ασεπ σειρα βαθμολογιας εκπαιδευτικοι εγγεγραμμενοι πινακες αναπληρωτων εκπαιδευτικων διορισμο προβαινει διοικηση διαθεση υποψηφιου αποφαση ασεπ,Ερμηνεία διάταξης του άρθρου 7 παρ.1 Ν 3027/2002. Διαδικασία διορισμού των διοριστέων κατά τη διάταξη του δεύτερου εδαφίου της πιο πάνω διάταξης.,0,1,0,0,0
δικαιωμα ληψεως αναρρωτικων αδειων οπλιτες πενταετους υποχρεωσης οπυ συμπληρωσαν υπηρεσια στρατευμα κρινεται ισχυουσων διαταξεων ρυθμιζουν σωματικης ικανοτητος στρατευσιμων κατατασσονται στρατευμα οπυ παιρνουν αναβολη λογους υγειας δικαιουνται ιατροφαρμακευτικης περιθαλψης δημοσιο περαιτερω αποδοχων ενεργειας,Οπλίτες πενταετούς υποχρέωσης (Ο.Π.Υ. Σωματική ικανότης. Αναρρωτικές άδειες.,1,0,0,0,0
προστιμα επιβαλλονται λιμενικες αρχες εφαρμογην κδνδ υποκεινται πενταετη παραγραφη,Παραγραφή προστίμων για λιμενικές παραβάσεις.,1,0,0,0,0
υπαλληλοι υπουργειου εξωτερικων τιθενται αργια λογου ασκουν πραγματικη υπηρεσια επιστρεφουν προσωρινως μεταθεση ευρισκονται χωρα στερουνται δικαιωματος προσωρινης εισαγωγης αναστολη δασμων φορων λοιπων επιβαρυνσεων προσωρινα εισαχθεντος επιβατικου αυτοκινητου παραπομπη ερωτηματος ολομελεια νσκ εκδοθηκε γνωμ α΄ολομ νσκ,Υπάλληλοι Υπουργείου Εξωτερικών σε αργία – Δυνατότητα υπαγωγής των επιβατικών αυτοκινήτων τους στο καθεστώς της προσωρινής εισαγωγής.,0,0,0,0,1
μεταθεσεις προσωπικου εδρες ναυτιλιακων ακολουθων αποφασιζονται διατασσονται υπουργο εμπορικης ναυτιλιας,Μεταθέσεις προσωπικού Λ.Σ. στις έδρες Ναυτιλιακών Ακολούθων.,0,0,0,1,0
υποψηφιος δικαστικος επιμελητης οποιος παρακολουθησε επαρκως προβλεπομενο διορισμο κυκλο επιμορφωτικων διαδικασιων συνεχεια ελαβε βεβαιωση δικαιολογητικο διορισμου ιδιοτητα επιτυχοντος σχετικο διαγωνισμο καταταξή επιτυχων συμμορφωση διοικησης προς αποφαση συμβουλιου επικρατειας διοριστει παρακολουθησει νεου υπο ιδιοτητα επιτυχοντος κυκλο,"Διορισμός, σε συμμόρφωση προς δικαστική απόφαση, δικαστικού επιμελητή, ο οποίος, όταν παρακολούθησε τον απαιτούμενο κύκλο επιμορφωτικών σεμιναρίων δεν είχε την ιδιότητα του επιτυχόντος στο σχετικό διαγωνισμό.",0,1,0,0,0
υπαλληλος βαρος καταλογισθηκε καποιο ποσο πληρωσει υπεισερχεται δικαιωματα υποχρεου εναντι τριτου,Καταλογισμός χρηματ.ποσού σε βάρος δημοσίου υπαλλ. Δυνατό τητα α- ναζητήσεως καταλογισθέντος ποσού από τον πράγματι υπόχρεο.,0,0,0,0,1
αυτοδικαιη καταταξη υπαλληλων ογα βαθμους μπορουν μεταταξη υπαλληλου ογα κενη θεση ογα αλλου κλαδου ιδιας κατηγοριας μεταταξη υπαλληλου κενη θεση ογα κλαδου ανωτερης κατηγοριας εφαρμοσθουν διαταξεις αρθρων μεταταξεις ισχυουν ημερομηνια δημοσιευσής εφημεριδα κυβερνησης υποβληθεισες εναρξη ισχυος αιτησεις υπαλληλων ογα μεταταξη μπορουν τυχουν σημερα εφαρμογης διαταξεις κανονισμου καταστασης προσωπικου ογα διαταξεις αρθρων,"Εφαρμογή ή μη των άρθρων 69 και 70 του ν.3528/2007, μετά την ισχύ του ν.4024/2011, για τις (εσωτερικές) μετατάξεις υπαλλήλων του Ο.Γ.Α. – Έναρξη ισχύος των μετατάξεων – Εφαρμογή ή μη των διατάξεων του άρθρου 23 του Κανονισμού Κατάστασης Προσωπικού του Ο.Γ.Α. για τις υποβληθείσες, πριν την ισχύ του ν.4024/2011, αιτήσεις για (εσωτερική) μετάταξη.",0,0,0,0,1
βαθμολογικη μισθολογικη καταταξη υπαλληλων υπεβαλαν αιτησεις αναγνωριση αρμοδιο υπηρεσιακο συμβουλιο συναφειας διδακτορικου διπλωματος μεταπτυχιακου τιτλου σπουδων προγενεστερο εναρξης ισχυος αποφαση εκδοθηκε μεταγενεστερα εναρξη ισχυος τυγχανουν εφαρμογης διαταξεις προισχυσαντος,"Εφαρμογή ή μη, για τη βαθμολογική και μισθολογική κατάταξη των υπαλλήλων, οι οποίοι υπέβαλαν αιτήσεις για την αναγνώριση από το αρμόδιο Υπηρεσιακό Συμβούλιο της συνάφειας του διδακτορικού τους διπλώματος ή του μεταπτυχιακού τους τίτλου σπουδών, σε χρόνο προγενέστερο της έναρξης ισχύος του Ν. 4024/2011, αλλά η σχετική απόφαση εκδόθηκε μεταγενέστερα, των διατάξεων του Ν. 4024/2011 ή του προϊσχύσαντος Ν.3205/2003.",0,0,0,0,1
διαταξεις ακουσιο κενο καλυφθει αναλογικης εφαρμογης συνδυαζομενων διαταξεων αρθρων κκδκυ αποδοχης διορισμου διοριστεου μια προκηρυχθεισων θεσεων αναπληρωνεται επομενο σειρα τελικο πινακα επιτυχιας υποψηφιο καθοσον αποτελει γενικοτερη αρχη εφαρμοσθει ισοτητι λογων τελουσα υπο κριση περιπτωση παρεμεινε αρρυθμιστη,Δημοτική Αστυνομία – Διαγωνισμός προσλήψεως ειδικού ένστολου προσωπικού – Μη αποδοχή διορισμού από επιτυχόντα – Κατάληψη ή μη της θέσης από την πρώτη επιλαχούσα.,0,1,0,0,0
αναθεση εκμεταλλευσης ακινητων ανηκουν νπδδ τριτο φυσικο νομικο προσωπο ειδικη νομοθετικη προβλεψη δυνατον,Ν.Π.Δ.Δ. Εκμετάλλευση περιουσίας. Αρμοδιότης διαχειρίσεως.,1,0,0,0,0
δαπανη υλικα εργασιων συντηρησης περιοδικοτητα μηνος χρονου ισχυος εγγυησης καλης λειτουργιας κυριες μηχανες ηλεκτροπαραγωγα ζευγη βαρυνει ορους συμβασεως αγοραστη,Έναρξη και συμπλήρωση της παραγραφής αξιώσεως κατά του Δημοσίου προς επιστροφή αχρεωστήτως καταβληθέντος ειδικού φόρου καταναλώσεως.,1,0,0,0,0
δικαιουχοι επιδοτησεων οσδε νομιμοι κατοχοι συντρεχει στοιχειο νομιμης κατοχης εκτασης πληρουνται λοιπες ειδικες γενικες προυποθεσεις επιδοτησης πλαισια οσδε καταβληθει επιδοτηση αδιαφορο πλαισια κοινοτικου πεδιου λειτουργιας οσδε επαπειλουμενες διοικητικες κυρωσεις προβλεπονται σχετικο μισθωτηριο νομιμων μεν κατοχων υπερεβησαν αναληφθεισες υποχρεωσεις αναφορικα εκταση επετραπη καλλιεργησουν,"Δυνατότητα ανάκλησης επιβληθέντων προστίμων από την Επιτροπή Ρυθμίσεως Θεμάτων Εισαγωγής (Ε.Ρ.Θ.Ε.) σε Ανώνυμη Εταιρεία, για παράβαση διατάξεων εξωτερικού εμπορίου.",0,0,1,0,0
προσωποκρατηση προισταμενου λογιστηριου ανωνυμης εταιρειας δικαιωμα δευτερης υπογραφης υπογραφων προσωπου δικαιωμα πρωτης υπογραφης δεσμευαν ετσι εταιρεια εκπροσωπουσε ιδιοτητα διευθυνοντος εντεταλμενου συμπραττοντος συμβουλου διευθυντου γενικα εντεταλμενου διευθυνση ανωνυμης εταιρειας,Μη δυνατότητα προσωποκρατήσεως Προισταμένου λογιστηρίου Α.Ε. εφόσον αυτός δεν είχε και την εκπροσώπηση της εταιρείας.,0,0,1,0,0
γνωμη εκφερει γενσυνελευση τμηματος αει διορισμο δντη αναπληρωτη δντη αερι αποτελει απλη γνωμη δεσμευει υπουργο οποιος αποστη υπο ορο αιτιολογησει ειδικως τοιαυτην αποκλισιν,Εκλογή Διευθυντή Ακαδημαικού Ερευνητικού Ινστιτούτου.,0,1,0,0,0
ασκηθει ανακοπη δημοσιο αποφασεως εγκαταλελειμμενο ακινητο εκδοθηκε ερημην ιδιοκτητη προηγουμενη καταληψη ακινητου,Ασκηση ανακοπής από το Δημόσιο κατά αποφάσεως για εγκαταλελειμμένο ακίνητο.,1,0,0,0,0
κληρονομος αρχικου δικαιουχου πρατηριου υγρων καυσιμων δικαιουται ζητησει χορηγηση ονομά αδειας καιτοι δημοσιος υπαλληλος διατηρησει απειλουμενων πειθαρχικων κυρωσεων υπαλληλικου κωδικα,Χορήγηση άδειας λειτουργίας πρατηρίου υγρών καυσίμων στο όνομα κληρονόμου θανόντος δικαιούχου. Προυποθέσεις.,0,0,0,0,1
υποχρεως προς επιστροφη εκδοση σχετικης αποφασης ευρωπαικης επιτροπης παρανομης κριθεισης κρατικης ενισχυσης προς πωληθεισα ανωνυμη εταιρεια «ελληνικα ναυπηγεια αε» πωλητης,"Υπόχρεως προς επιστροφή, μετά την έκδοση σχετικής απόφασης της Ευρωπαϊκής Επιτροπής, της ως παράνομης κριθείσης κρατικής ενίσχυσης προς την πωληθείσα ανώνυμη εταιρεία «Ελληνικά Ναυπηγεία Α.Ε.».",0,0,1,0,0
μεταταγεις υπαλληλος οδιε δικαιουται αποδοχων χρονικο διαστημα δημοσιευση εως αναληψη υπηρεσιας φορεα μεταταξης αφαιρουμενης ωφελειας απεκομισε δικη επαγγελματικη δραστηριοτητα χρονικο διαστημα ομοφ,"Καταβολή εκ του νόμου οφειλόμενων αποδοχών σε μεταταγέντα υπάλληλο του Οργανισμού Διεξαγωγής Ιπποδρομιών Ελλάδος (ΟΔΙΕ ΑΕ) για το χρονικό διάστημα κατά το οποίο δεν παρέσχε υπηρεσία, αλλά άσκησε δική του εργασιακή δραστηριότητα.",0,0,0,1,0
